model,ticker,scaler,sentiment,run,accuracy,f1_score,train_loss,val_loss,class_distribution,lag,pred_probs,technical_indicators,base_estimator_max_depth,learning_rate,n_estimators,profit
AdaBoost,TSLA,,False,32,0.48,0.4,,,"{np.int64(0): np.int64(50), np.int64(1): np.int64(25)}",10,,False,5,1,50,-1638.5545349121094
AdaBoost,TSLA,,False,33,0.48,0.4657534246575342,,,"{np.int64(0): np.int64(42), np.int64(1): np.int64(33)}",10,,False,5,1,50,25.235336303710938
AdaBoost,TSLA,,False,34,0.5333333333333333,0.5333333333333333,,,"{np.int64(0): np.int64(40), np.int64(1): np.int64(35)}",10,,False,5,1,50,2227.0880126953125
AdaBoost,TSLA,,False,35,0.5333333333333333,0.46153846153846156,,,"{np.int64(0): np.int64(50), np.int64(1): np.int64(25)}",10,,False,5,1,50,2185.8345642089844
AdaBoost,TSLA,,False,36,0.48,0.417910447761194,,,"{np.int64(0): np.int64(48), np.int64(1): np.int64(27)}",10,,False,5,1,50,2488.7298431396484
AdaBoost,TSLA,,False,37,0.5333333333333333,0.4927536231884058,,,"{np.int64(0): np.int64(46), np.int64(1): np.int64(29)}",10,,False,5,1,50,5627.710998535156
AdaBoost,TSLA,,False,38,0.48,0.43478260869565216,,,"{np.int64(0): np.int64(46), np.int64(1): np.int64(29)}",10,,False,5,1,50,-318.8925018310547
AdaBoost,TSLA,,False,39,0.5333333333333333,0.47761194029850745,,,"{np.int64(0): np.int64(48), np.int64(1): np.int64(27)}",10,,False,5,1,50,385.3375549316406
AdaBoost,TSLA,,False,40,0.5333333333333333,0.5333333333333333,,,"{np.int64(0): np.int64(40), np.int64(1): np.int64(35)}",10,,False,5,1,50,2632.354248046875
AdaBoost,TSLA,,False,41,0.5333333333333333,0.47761194029850745,,,"{np.int64(0): np.int64(48), np.int64(1): np.int64(27)}",10,,False,5,1,50,-171.0125274658203
AdaBoost,TSLA,,False,42,0.5066666666666667,0.4788732394366197,,,"{np.int64(0): np.int64(44), np.int64(1): np.int64(31)}",10,,False,5,1,50,3808.8170471191406
AdaBoost,TSLA,,False,43,0.4666666666666667,0.42857142857142855,,,"{np.int64(0): np.int64(45), np.int64(1): np.int64(30)}",10,,False,5,1,50,240.6812744140625
AdaBoost,TSLA,,False,44,0.52,0.45454545454545453,,,"{np.int64(0): np.int64(49), np.int64(1): np.int64(26)}",10,,False,5,1,50,3736.9295043945312
AdaBoost,TSLA,,False,45,0.4666666666666667,0.375,,,"{np.int64(0): np.int64(51), np.int64(1): np.int64(24)}",10,,False,5,1,50,752.7244873046875
AdaBoost,TSLA,,False,46,0.6,0.5454545454545454,,,"{np.int64(0): np.int64(49), np.int64(1): np.int64(26)}",10,,False,5,1,50,4765.398208618164
AdaBoost,TSLA,,False,47,0.5333333333333333,0.5070422535211268,,,"{np.int64(0): np.int64(44), np.int64(1): np.int64(31)}",10,,False,5,1,50,9215.847793579102
AdaBoost,TSLA,,False,48,0.44,0.27586206896551724,,,"{np.int64(0): np.int64(57), np.int64(1): np.int64(18)}",10,,False,5,1,50,398.0365753173828
AdaBoost,TSLA,,False,49,0.49333333333333335,0.4864864864864865,,,"{np.int64(0): np.int64(41), np.int64(1): np.int64(34)}",10,,False,5,1,50,1895.91748046875
AdaBoost,TSLA,,False,50,0.52,0.4857142857142857,,,"{np.int64(0): np.int64(45), np.int64(1): np.int64(30)}",10,,False,5,1,50,-230.94557189941406
AdaBoost,TSLA,,False,51,0.52,0.5,,,"{np.int64(0): np.int64(43), np.int64(1): np.int64(32)}",10,,False,5,1,50,5586.671310424805
AdaBoost,TSLA,,False,52,0.52,0.5263157894736842,,,"{np.int64(0): np.int64(39), np.int64(1): np.int64(36)}",10,,False,5,1,50,-140.0325927734375
AdaBoost,TSLA,,False,53,0.49333333333333335,0.5128205128205128,,,"{np.int64(0): np.int64(37), np.int64(1): np.int64(38)}",10,,False,5,1,50,2504.009521484375
AdaBoost,TSLA,,False,54,0.5466666666666666,0.5405405405405406,,,"{np.int64(0): np.int64(41), np.int64(1): np.int64(34)}",10,,False,5,1,50,1933.2495727539062
AdaBoost,TSLA,,False,55,0.4533333333333333,0.4225352112676056,,,"{np.int64(0): np.int64(44), np.int64(1): np.int64(31)}",10,,False,5,1,50,4305.652648925781
AdaBoost,TSLA,,False,56,0.5066666666666667,0.463768115942029,,,"{np.int64(0): np.int64(46), np.int64(1): np.int64(29)}",10,,False,5,1,50,2128.419876098633
AdaBoost,TSLA,,False,57,0.5466666666666666,0.5526315789473685,,,"{np.int64(0): np.int64(39), np.int64(1): np.int64(36)}",10,,False,5,1,50,3213.6893615722656
AdaBoost,TSLA,,False,58,0.4666666666666667,0.47368421052631576,,,"{np.int64(0): np.int64(39), np.int64(1): np.int64(36)}",10,,False,5,1,50,356.59051513671875
AdaBoost,TSLA,,False,59,0.5333333333333333,0.5333333333333333,,,"{np.int64(0): np.int64(40), np.int64(1): np.int64(35)}",10,,False,5,1,50,2147.517776489258
AdaBoost,TSLA,,False,60,0.4666666666666667,0.3548387096774194,,,"{np.int64(0): np.int64(53), np.int64(1): np.int64(22)}",10,,False,5,1,50,-638.2241058349609
AdaBoost,TSLA,,False,61,0.5466666666666666,0.5277777777777778,,,"{np.int64(0): np.int64(43), np.int64(1): np.int64(32)}",10,,False,5,1,50,470.2763977050781
AdaBoost,TSLA,,False,62,0.52,0.4375,,,"{np.int64(0): np.int64(51), np.int64(1): np.int64(24)}",10,,False,5,1,50,-333.7237548828125
AdaBoost,TSLA,,False,63,0.5733333333333334,0.5555555555555556,,,"{np.int64(0): np.int64(43), np.int64(1): np.int64(32)}",10,,False,5,1,50,3323.0475006103516
AdaBoost,TSLA,,False,64,0.52,0.4857142857142857,,,"{np.int64(0): np.int64(45), np.int64(1): np.int64(30)}",10,,False,5,1,50,3519.8941192626953
AdaBoost,TSLA,,False,65,0.48,0.43478260869565216,,,"{np.int64(0): np.int64(46), np.int64(1): np.int64(29)}",10,,False,5,1,50,-942.0202484130859
AdaBoost,TSLA,,False,66,0.5066666666666667,0.4931506849315068,,,"{np.int64(0): np.int64(42), np.int64(1): np.int64(33)}",10,,False,5,1,50,2292.5951232910156
AdaBoost,TSLA,,False,67,0.52,0.5384615384615384,,,"{np.int64(0): np.int64(37), np.int64(1): np.int64(38)}",10,,False,5,1,50,3152.658737182617
AdaBoost,TSLA,,False,68,0.4666666666666667,0.4117647058823529,,,"{np.int64(0): np.int64(47), np.int64(1): np.int64(28)}",10,,False,5,1,50,1898.3055725097656
AdaBoost,TSLA,,False,69,0.44,0.27586206896551724,,,"{np.int64(0): np.int64(57), np.int64(1): np.int64(18)}",10,,False,5,1,50,-1594.7733154296875
AdaBoost,TSLA,,False,70,0.4666666666666667,0.4444444444444444,,,"{np.int64(0): np.int64(43), np.int64(1): np.int64(32)}",10,,False,5,1,50,2744.107131958008
AdaBoost,TSLA,,False,71,0.5466666666666666,0.48484848484848486,,,"{np.int64(0): np.int64(49), np.int64(1): np.int64(26)}",10,,False,5,1,50,4569.938003540039
AdaBoost,TSLA,,False,72,0.52,0.45454545454545453,,,"{np.int64(0): np.int64(49), np.int64(1): np.int64(26)}",10,,False,5,1,50,3487.8388061523438
AdaBoost,TSLA,,False,73,0.52,0.4857142857142857,,,"{np.int64(0): np.int64(45), np.int64(1): np.int64(30)}",10,,False,5,1,50,9317.109878540039
AdaBoost,TSLA,,False,74,0.48,0.43478260869565216,,,"{np.int64(0): np.int64(46), np.int64(1): np.int64(29)}",10,,False,5,1,50,-814.5906524658203
AdaBoost,TSLA,,False,75,0.5066666666666667,0.4126984126984127,,,"{np.int64(0): np.int64(52), np.int64(1): np.int64(23)}",10,,False,5,1,50,-53.603912353515625
AdaBoost,TSLA,,False,76,0.44,0.34375,,,"{np.int64(0): np.int64(51), np.int64(1): np.int64(24)}",10,,False,5,1,50,-331.7804718017578
AdaBoost,TSLA,,False,77,0.5466666666666666,0.5142857142857142,,,"{np.int64(0): np.int64(45), np.int64(1): np.int64(30)}",10,,False,5,1,50,3443.7953186035156
AdaBoost,TSLA,,False,78,0.5066666666666667,0.4931506849315068,,,"{np.int64(0): np.int64(42), np.int64(1): np.int64(33)}",10,,False,5,1,50,2965.718292236328
AdaBoost,TSLA,,False,79,0.5333333333333333,0.5454545454545454,,,"{np.int64(0): np.int64(38), np.int64(1): np.int64(37)}",10,,False,5,1,50,4088.9291381835938
AdaBoost,TSLA,,False,80,0.48,0.43478260869565216,,,"{np.int64(0): np.int64(46), np.int64(1): np.int64(29)}",10,,False,5,1,50,-318.8925018310547
AdaBoost,TSLA,,False,81,0.4666666666666667,0.3939393939393939,,,"{np.int64(0): np.int64(49), np.int64(1): np.int64(26)}",10,,False,5,1,50,1217.7088470458984
AdaBoost,TSLA,,False,82,0.5466666666666666,0.5277777777777778,,,"{np.int64(0): np.int64(43), np.int64(1): np.int64(32)}",10,,False,5,1,50,2988.164596557617
AdaBoost,TSLA,,False,83,0.49333333333333335,0.4864864864864865,,,"{np.int64(0): np.int64(41), np.int64(1): np.int64(34)}",10,,False,5,1,50,3606.69677734375
AdaBoost,TSLA,,False,84,0.52,0.5,,,"{np.int64(0): np.int64(43), np.int64(1): np.int64(32)}",10,,False,5,1,50,3116.5795135498047
AdaBoost,TSLA,,False,85,0.5066666666666667,0.4788732394366197,,,"{np.int64(0): np.int64(44), np.int64(1): np.int64(31)}",10,,False,5,1,50,5106.831558227539
AdaBoost,TSLA,,False,86,0.4533333333333333,0.3492063492063492,,,"{np.int64(0): np.int64(52), np.int64(1): np.int64(23)}",10,,False,5,1,50,-706.3939666748047
AdaBoost,TSLA,,False,87,0.5733333333333334,0.5555555555555556,,,"{np.int64(0): np.int64(43), np.int64(1): np.int64(32)}",10,,False,5,1,50,424.32518005371094
AdaBoost,TSLA,,False,88,0.49333333333333335,0.4722222222222222,,,"{np.int64(0): np.int64(43), np.int64(1): np.int64(32)}",10,,False,5,1,50,4825.472473144531
AdaBoost,TSLA,,False,89,0.5066666666666667,0.44776119402985076,,,"{np.int64(0): np.int64(48), np.int64(1): np.int64(27)}",10,,False,5,1,50,2604.3123474121094
AdaBoost,TSLA,,False,90,0.4533333333333333,0.3050847457627119,,,"{np.int64(0): np.int64(56), np.int64(1): np.int64(19)}",10,,False,5,1,50,1782.304428100586
AdaBoost,TSLA,,False,91,0.5066666666666667,0.4788732394366197,,,"{np.int64(0): np.int64(44), np.int64(1): np.int64(31)}",10,,False,5,1,50,2321.845001220703
AdaBoost,TSLA,,False,92,0.4533333333333333,0.4225352112676056,,,"{np.int64(0): np.int64(44), np.int64(1): np.int64(31)}",10,,False,5,1,50,-131.63243103027344
AdaBoost,TSLA,,False,93,0.48,0.417910447761194,,,"{np.int64(0): np.int64(48), np.int64(1): np.int64(27)}",10,,False,5,1,50,-1339.7874450683594
AdaBoost,TSLA,,False,94,0.5066666666666667,0.4788732394366197,,,"{np.int64(0): np.int64(44), np.int64(1): np.int64(31)}",10,,False,5,1,50,5772.725494384766
AdaBoost,TSLA,,False,95,0.49333333333333335,0.4722222222222222,,,"{np.int64(0): np.int64(43), np.int64(1): np.int64(32)}",10,,False,5,1,50,3443.1138916015625
AdaBoost,TSLA,,False,96,0.5066666666666667,0.5194805194805194,,,"{np.int64(0): np.int64(38), np.int64(1): np.int64(37)}",10,,False,5,1,50,1609.1101989746094
AdaBoost,TSLA,,False,97,0.5333333333333333,0.5070422535211268,,,"{np.int64(0): np.int64(44), np.int64(1): np.int64(31)}",10,,False,5,1,50,6326.047958374023
AdaBoost,TSLA,,False,98,0.48,0.4657534246575342,,,"{np.int64(0): np.int64(42), np.int64(1): np.int64(33)}",10,,False,5,1,50,3916.7349548339844
AdaBoost,TSLA,,False,99,0.49333333333333335,0.45714285714285713,,,"{np.int64(0): np.int64(45), np.int64(1): np.int64(30)}",10,,False,5,1,50,2736.3827362060547
AdaBoost,TSLA,,False,100,0.52,0.4857142857142857,,,"{np.int64(0): np.int64(45), np.int64(1): np.int64(30)}",10,,False,5,1,50,-230.94557189941406
AdaBoost,MSFT,,False,1,0.49333333333333335,0.4722222222222222,,,"{np.int64(0): np.int64(47), np.int64(1): np.int64(28)}",10,,False,5,1,50,-11.945686193779693
