model,ticker,scaler,sentiment,run,accuracy,f1_score,train_loss,val_loss,class_distribution,lag,pred_probs,technical_indicators,xgb_max_depth,xgb_min_child_weight,xgb_gamma,learning_rate,n_estimators,profit
XGBoost,TSLA,standard,False,32,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,33,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,34,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,35,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,36,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,37,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,38,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,39,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,40,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,41,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,42,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,43,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,44,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,45,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,46,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,47,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,48,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,49,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,50,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
