model,ticker,scaler,sentiment,run,accuracy,f1_score,train_loss,val_loss,class_distribution,lag,pred_probs,technical_indicators,depth
LSTM,TSLA,standard,True,1,0.5116279069767442,0.4,"[0.7534019947052002, 0.6745051741600037, 0.6898245215415955, 0.6616742014884949, 0.6519335508346558, 0.6677861213684082, 0.622816264629364, 0.6181392669677734, 0.5900539755821228, 0.6214352250099182, 0.5900465250015259, 0.575886070728302, 0.5795045495033264, 0.562484085559845, 0.5719062089920044, 0.5627939105033875, 0.5127237439155579, 0.5677360892295837, 0.5007542371749878, 0.5563943386077881, 0.5034134984016418, 0.5300542116165161, 0.5251625776290894, 0.5065866112709045, 0.49359551072120667, 0.48534539341926575, 0.4870884120464325, 0.4986303150653839, 0.4578215777873993, 0.4295820891857147, 0.4830617606639862, 0.4920675456523895, 0.4619636535644531, 0.3979387581348419, 0.45912134647369385, 0.45638781785964966, 0.4257849156856537, 0.37337806820869446, 0.44025781750679016, 0.39578863978385925, 0.4132896363735199, 0.35735172033309937, 0.39802318811416626, 0.3329102396965027, 0.3759639263153076, 0.35473597049713135, 0.38134753704071045, 0.29845502972602844, 0.32609304785728455, 0.33012887835502625, 0.33129748702049255, 0.2892121374607086, 0.330795556306839, 0.2866813838481903, 0.272999107837677, 0.2512441575527191, 0.31936612725257874, 0.28111258149147034, 0.30071374773979187, 0.2552487850189209, 0.22685131430625916, 0.3396826386451721, 0.26436880230903625, 0.22685088217258453, 0.16525956988334656, 0.1858789622783661, 0.16586099565029144, 0.21007095277309418, 0.2188255488872528, 0.2208341807126999, 0.18382272124290466, 0.22499020397663116, 0.1145157516002655, 0.19772149622440338, 0.14479820430278778, 0.18688008189201355, 0.1391644924879074, 0.15238697826862335, 0.15726488828659058, 0.16564807295799255, 0.20034217834472656, 0.11413261294364929, 0.1467342972755432, 0.1075105220079422, 0.11945278197526932, 0.09890595078468323, 0.1313650757074356, 0.12378781288862228, 0.12009625136852264, 0.08982325345277786, 0.1470748335123062, 0.09392319619655609, 0.1468176394701004, 0.09480573982000351, 0.14674820005893707, 0.1131172627210617, 0.11095116287469864, 0.07842038571834564, 0.07520723342895508, 0.06177589297294617, 0.08360210806131363]","[0.6956334710121155, 0.7052444815635681, 0.718022882938385, 0.7218984961509705, 0.7169885635375977, 0.7405675053596497, 0.7321228981018066, 0.735909640789032, 0.7447124123573303, 0.7550099492073059, 0.7523838877677917, 0.7476723790168762, 0.7632708549499512, 0.7669892907142639, 0.7554457783699036, 0.8198363184928894, 0.8172177076339722, 0.8407264351844788, 0.8303895592689514, 0.809167742729187, 0.8680282235145569, 0.8898833394050598, 0.8992742300033569, 0.9926930665969849, 0.9782400727272034, 1.0014762878417969, 1.0216656923294067, 1.0032613277435303, 0.9782845377922058, 0.9744443297386169, 1.0354138612747192, 1.055761694908142, 1.0710166692733765, 1.1220388412475586, 1.087588906288147, 1.113914132118225, 1.2321444749832153, 1.2851333618164062, 1.3802564144134521, 1.348285436630249, 1.2114378213882446, 1.2802460193634033, 1.3607984781265259, 1.3416483402252197, 1.2653757333755493, 1.3784370422363281, 1.6528328657150269, 1.4722565412521362, 1.5422289371490479, 1.5660477876663208, 1.584871530532837, 1.6928225755691528, 1.88763427734375, 2.1083502769470215, 2.1205685138702393, 2.007251739501953, 2.0459039211273193, 1.9619535207748413, 2.072179079055786, 2.2055811882019043, 1.9906338453292847, 2.1527042388916016, 2.142347812652588, 2.1552417278289795, 2.412893056869507, 2.4127726554870605, 2.466844320297241, 2.805698871612549, 2.9996602535247803, 3.296980142593384, 2.9876821041107178, 2.923546314239502, 3.801117181777954, 3.5490622520446777, 3.0940780639648438, 3.1957907676696777, 3.6456875801086426, 3.3178629875183105, 3.3039021492004395, 3.755598783493042, 4.626254081726074, 4.225693225860596, 4.497073173522949, 4.95630407333374, 4.40006685256958, 3.7773425579071045, 4.4556884765625, 4.978208065032959, 4.735585689544678, 4.37552547454834, 5.1068902015686035, 4.914462566375732, 4.62821626663208, 4.035183429718018, 4.228342533111572, 3.322293519973755, 3.266632080078125, 3.780308961868286, 4.194566249847412, 4.525433540344238, 5.263396263122559]","{np.int64(0): np.int64(30), np.int64(1): np.int64(13)}",5,"[[0.50400555]
 [0.5037511 ]
 [0.5015041 ]
 [0.49532276]
 [0.4911536 ]
 [0.496885  ]
 [0.49829054]
 [0.4994867 ]
 [0.5123564 ]
 [0.51154035]
 [0.50042987]
 [0.49608654]
 [0.5051063 ]
 [0.5155355 ]
 [0.5136218 ]
 [0.49193278]
 [0.48777524]
 [0.48907003]
 [0.49116153]
 [0.49277508]
 [0.4898447 ]
 [0.4970042 ]
 [0.4981724 ]
 [0.49708438]
 [0.4950223 ]
 [0.4929307 ]
 [0.49311307]
 [0.49118972]
 [0.49349535]
 [0.49294657]
 [0.491986  ]
 [0.488817  ]
 [0.49165213]
 [0.4875214 ]
 [0.48437396]
 [0.4898482 ]
 [0.4906487 ]
 [0.5004056 ]
 [0.50804216]
 [0.504838  ]
 [0.5057224 ]
 [0.4955562 ]
 [0.48674387]]",True,1
LSTM,TSLA,standard,True,2,0.5116279069767442,0.676923076923077,"[0.7059524059295654, 0.6823289394378662, 0.6682168841362, 0.6385703682899475, 0.6428460478782654, 0.5829020142555237, 0.6264956593513489, 0.6420910358428955, 0.614539384841919, 0.6069815158843994, 0.592828631401062, 0.5732519626617432, 0.6170077919960022, 0.5741564631462097, 0.5418261885643005, 0.5646913647651672, 0.5669257640838623, 0.49581852555274963, 0.5307520031929016, 0.5023396015167236, 0.4847380816936493, 0.49808967113494873, 0.4553089737892151, 0.4967711865901947, 0.4666091501712799, 0.42733344435691833, 0.470045268535614, 0.49872109293937683, 0.4080252945423126, 0.46273061633110046, 0.44119057059288025, 0.3832044303417206, 0.4848826825618744, 0.45164138078689575, 0.4191618859767914, 0.40041863918304443, 0.42500078678131104, 0.39296481013298035, 0.41922155022621155, 0.3875843286514282, 0.3508276343345642, 0.3799625039100647, 0.36401110887527466, 0.436402291059494, 0.3075694143772125, 0.3529151678085327, 0.32810863852500916, 0.3290429711341858, 0.31394481658935547, 0.29749199748039246, 0.28409722447395325, 0.2999868392944336, 0.29431602358818054, 0.2993699312210083, 0.2725679576396942, 0.26011407375335693, 0.2642308175563812, 0.2902524471282959, 0.2060175985097885, 0.19146078824996948, 0.25643494725227356, 0.22817228734493256, 0.2618396282196045, 0.2047823667526245, 0.24619752168655396, 0.20630021393299103, 0.16296465694904327, 0.20708371698856354, 0.2010980099439621, 0.1739230751991272, 0.16619811952114105, 0.16025744378566742, 0.27848443388938904, 0.20148570835590363, 0.14876028895378113, 0.1626504510641098, 0.1088850125670433, 0.13790778815746307, 0.14315928518772125, 0.1340261846780777, 0.11639965325593948, 0.10725845396518707, 0.12084602564573288, 0.16251228749752045, 0.10946469008922577, 0.10824891924858093, 0.11460137367248535, 0.1494206339120865, 0.14027220010757446, 0.12178720533847809, 0.09277082979679108, 0.0815337747335434, 0.11815092712640762, 0.1213437169790268, 0.09626162797212601, 0.07997937500476837, 0.121541827917099, 0.09200121462345123, 0.12799349427223206, 0.07174202799797058, 0.09658323228359222]","[0.6928787231445312, 0.6953272819519043, 0.6960858106613159, 0.6993592977523804, 0.7024138569831848, 0.7050861716270447, 0.7140811085700989, 0.7153481841087341, 0.7114863395690918, 0.7207866311073303, 0.7383127212524414, 0.7361098527908325, 0.7400451898574829, 0.7335205078125, 0.7399619221687317, 0.7460798025131226, 0.7538281679153442, 0.7821618318557739, 0.7907029390335083, 0.7850252985954285, 0.744644284248352, 0.7817265391349792, 0.8445147275924683, 0.8182643055915833, 0.8222262263298035, 0.8741635084152222, 0.8904284238815308, 0.9443871378898621, 0.9806646108627319, 0.9831814169883728, 0.9888572692871094, 1.0157579183578491, 1.205590844154358, 1.0898040533065796, 1.054281234741211, 1.1236164569854736, 1.112994909286499, 1.1077409982681274, 1.1889820098876953, 1.2055217027664185, 1.342315435409546, 1.546977162361145, 1.350231409072876, 1.3965445756912231, 1.5255426168441772, 1.6033998727798462, 1.5407708883285522, 1.7623789310455322, 1.60538649559021, 1.839835524559021, 1.8429718017578125, 1.939742922782898, 2.143871545791626, 2.3529598712921143, 2.2875924110412598, 2.194082736968994, 2.2888565063476562, 2.332467794418335, 2.252568006515503, 2.355457067489624, 2.5061497688293457, 2.910719633102417, 2.7486674785614014, 2.9623968601226807, 2.926496744155884, 2.726184844970703, 2.936626434326172, 3.03220796585083, 3.0834622383117676, 3.160155773162842, 3.275838613510132, 3.547057628631592, 3.1920812129974365, 2.867654800415039, 3.5504848957061768, 3.5268516540527344, 3.3377184867858887, 3.220691204071045, 3.6746532917022705, 4.101130962371826, 4.0058746337890625, 3.655515193939209, 3.8638033866882324, 3.7166049480438232, 3.3055808544158936, 3.543314218521118, 4.088566780090332, 4.236973762512207, 3.7447009086608887, 4.272031307220459, 4.665708065032959, 4.586974143981934, 4.449701309204102, 4.466874122619629, 4.793903350830078, 4.271363735198975, 4.7823004722595215, 4.885356426239014, 5.050038814544678, 5.450399875640869, 5.670882225036621]",{np.int64(1): np.int64(43)},5,"[[0.5235733 ]
 [0.5231739 ]
 [0.52406716]
 [0.53048646]
 [0.5323332 ]
 [0.5150977 ]
 [0.51274985]
 [0.5109936 ]
 [0.50544393]
 [0.5074532 ]
 [0.5182575 ]
 [0.5213666 ]
 [0.51474077]
 [0.51582646]
 [0.5146741 ]
 [0.5201097 ]
 [0.51967996]
 [0.5179263 ]
 [0.5184837 ]
 [0.5189028 ]
 [0.5183457 ]
 [0.5171388 ]
 [0.5169756 ]
 [0.5170296 ]
 [0.5172865 ]
 [0.5164564 ]
 [0.5156183 ]
 [0.515985  ]
 [0.5168094 ]
 [0.51724404]
 [0.51741344]
 [0.51771396]
 [0.5164203 ]
 [0.51604974]
 [0.5146511 ]
 [0.51750624]
 [0.5154456 ]
 [0.5182104 ]
 [0.5113061 ]
 [0.5126516 ]
 [0.51649123]
 [0.5161076 ]
 [0.51878536]]",True,1
LSTM,TSLA,standard,True,3,0.5813953488372093,0.6086956521739131,"[0.7225014567375183, 0.6583309173583984, 0.6741492748260498, 0.661514163017273, 0.6590831875801086, 0.6211007833480835, 0.6488397717475891, 0.6044066548347473, 0.603596568107605, 0.5902448892593384, 0.6038780808448792, 0.5498105883598328, 0.5402088165283203, 0.5381582975387573, 0.5625183582305908, 0.5701636075973511, 0.5880287289619446, 0.5448514223098755, 0.4998624324798584, 0.4923820495605469, 0.5212932825088501, 0.5013691782951355, 0.5078362822532654, 0.4997362196445465, 0.4843449890613556, 0.4672468304634094, 0.49502888321876526, 0.5079914927482605, 0.46237069368362427, 0.5005044341087341, 0.5319014191627502, 0.4298316240310669, 0.42933154106140137, 0.42656275629997253, 0.4354417026042938, 0.42283982038497925, 0.44648975133895874, 0.4375770390033722, 0.3781231641769409, 0.38968437910079956, 0.3588464856147766, 0.3341512680053711, 0.3669472932815552, 0.36411529779434204, 0.2898561954498291, 0.45162734389305115, 0.3144581913948059, 0.29343199729919434, 0.30750104784965515, 0.29740110039711, 0.2939452528953552, 0.24564094841480255, 0.2746850550174713, 0.31220799684524536, 0.29255545139312744, 0.2830578088760376, 0.28217074275016785, 0.28713706135749817, 0.2535383403301239, 0.22333621978759766, 0.3004826605319977, 0.20085683465003967, 0.2219371795654297, 0.28135350346565247, 0.22876961529254913, 0.1932193785905838, 0.20482908189296722, 0.15256434679031372, 0.17064768075942993, 0.15466351807117462, 0.17242853343486786, 0.17153939604759216, 0.1549098789691925, 0.12355352193117142, 0.18611271679401398, 0.13587240874767303, 0.1332610547542572, 0.23936863243579865, 0.14679768681526184, 0.16415926814079285, 0.15060213208198547, 0.15766963362693787, 0.1273086965084076, 0.15915422141551971, 0.12418525665998459, 0.14887027442455292, 0.08953657001256943, 0.13420549035072327, 0.07617794722318649, 0.11531504988670349, 0.1008596420288086, 0.1436268389225006, 0.11620618402957916, 0.13878914713859558, 0.09244447946548462, 0.09602595865726471, 0.12967348098754883, 0.08183437585830688, 0.12949447333812714, 0.10131896287202835, 0.06438367068767548, 0.06499649584293365]","[0.7077555656433105, 0.704940676689148, 0.7118878960609436, 0.7149986028671265, 0.7132945656776428, 0.7141144871711731, 0.7523479461669922, 0.7296182513237, 0.7294885516166687, 0.755564272403717, 0.7826229929924011, 0.7484194040298462, 0.7504070997238159, 0.7510946989059448, 0.7837696075439453, 0.7902809977531433, 0.7813876271247864, 0.7851735353469849, 0.8139122724533081, 0.7990702986717224, 0.8311804533004761, 0.8207417726516724, 0.8644204139709473, 0.8731705546379089, 0.8595963716506958, 0.8663886189460754, 0.8787127137184143, 0.9202861785888672, 0.9431920051574707, 1.0024693012237549, 0.8931670784950256, 1.0077300071716309, 1.0653194189071655, 0.967519223690033, 1.0355870723724365, 1.0429506301879883, 1.0211987495422363, 1.1161783933639526, 1.143601655960083, 1.1472816467285156, 1.1847283840179443, 1.2021753787994385, 1.2785414457321167, 1.3373167514801025, 1.225120186805725, 1.345224380493164, 1.3765541315078735, 1.4714525938034058, 1.4185391664505005, 1.549072027206421, 1.589741587638855, 1.6050349473953247, 1.6566404104232788, 1.7464873790740967, 1.6206125020980835, 1.8654340505599976, 1.6143425703048706, 1.7093192338943481, 1.744092583656311, 1.7931584119796753, 1.7140485048294067, 1.686523199081421, 2.087317705154419, 1.9568370580673218, 1.9323244094848633, 2.277031183242798, 2.3254339694976807, 2.6450092792510986, 2.441110372543335, 2.2308075428009033, 1.949894905090332, 2.2206695079803467, 2.4997940063476562, 2.518828868865967, 2.3327972888946533, 2.251333475112915, 2.259495258331299, 2.523613691329956, 2.7237229347229004, 3.5049498081207275, 3.1726841926574707, 2.788898468017578, 2.8922641277313232, 3.3796017169952393, 3.3179399967193604, 3.1978533267974854, 4.429111480712891, 3.184954881668091, 3.2283596992492676, 3.302324056625366, 3.221426248550415, 3.3840763568878174, 3.138908624649048, 3.1783769130706787, 3.090791940689087, 3.429270029067993, 3.6620826721191406, 4.128970146179199, 4.536146640777588, 3.848320484161377, 3.905719757080078, 3.930445432662964]","{np.int64(0): np.int64(19), np.int64(1): np.int64(24)}",5,"[[0.5151762 ]
 [0.5235036 ]
 [0.5006805 ]
 [0.4935918 ]
 [0.4992441 ]
 [0.4914316 ]
 [0.489841  ]
 [0.49688476]
 [0.4881715 ]
 [0.5062853 ]
 [0.50701004]
 [0.5188847 ]
 [0.49039173]
 [0.49375755]
 [0.48159993]
 [0.48738202]
 [0.4947185 ]
 [0.5051296 ]
 [0.50578094]
 [0.5063676 ]
 [0.5072667 ]
 [0.50680625]
 [0.5068959 ]
 [0.5066336 ]
 [0.50892574]
 [0.50468785]
 [0.500737  ]
 [0.5049046 ]
 [0.51294917]
 [0.5134354 ]
 [0.50360644]
 [0.49154338]
 [0.48739406]
 [0.4902372 ]
 [0.49944407]
 [0.49977934]
 [0.5074284 ]
 [0.4940442 ]
 [0.49458957]
 [0.49568582]
 [0.5025915 ]
 [0.5067396 ]
 [0.5137521 ]]",True,1
XGBoost,TSLA,standard,True,1,0.5116279069767442,0.5531914893617021,,,"{np.int64(0): np.int64(18), np.int64(1): np.int64(25)}",5,,True,1
XGBoost,TSLA,standard,True,2,0.5116279069767442,0.5531914893617021,,,"{np.int64(0): np.int64(18), np.int64(1): np.int64(25)}",5,,True,1
XGBoost,TSLA,standard,True,3,0.5116279069767442,0.5531914893617021,,,"{np.int64(0): np.int64(18), np.int64(1): np.int64(25)}",5,,True,1
LinearRegression,TSLA,standard,True,1,0.5348837209302325,0.375,,,"{np.int64(0): np.int64(33), np.int64(1): np.int64(10)}",5,"[-7.85024100e-01 -4.22342803e-02 -6.21675771e-01 -9.06448091e-01
 -1.12837960e+00 -7.00301188e-01 -1.23728600e+00 -1.25319543e+00
 -9.16976146e-01 -6.82076787e-01  1.23784130e-01 -1.50670057e-01
  4.47635881e-01  2.74811893e-01  1.42485502e-01 -1.30028148e-01
 -1.14541216e-01 -1.01411371e-01  4.89466456e-01  3.17982366e-02
  1.22845940e-01  8.94131183e-02  5.23241889e-02  4.23575172e-01
  6.69300596e-01  8.26276439e-01  7.50156610e-01  1.50147564e+00
  1.02260338e+00  1.37682373e+00  9.63701329e-01  1.12876881e+00
  2.54397330e-01 -2.60925774e-01  1.32370089e-01  6.13109177e-01
 -1.64428853e-01  3.22338282e-01 -1.00478982e-03 -3.18981203e-01
  8.82202090e-02  1.28949580e-01  5.97811334e-01]",True,1
LinearRegression,TSLA,standard,True,2,0.5348837209302325,0.375,,,"{np.int64(0): np.int64(33), np.int64(1): np.int64(10)}",5,"[-7.85024100e-01 -4.22342803e-02 -6.21675771e-01 -9.06448091e-01
 -1.12837960e+00 -7.00301188e-01 -1.23728600e+00 -1.25319543e+00
 -9.16976146e-01 -6.82076787e-01  1.23784130e-01 -1.50670057e-01
  4.47635881e-01  2.74811893e-01  1.42485502e-01 -1.30028148e-01
 -1.14541216e-01 -1.01411371e-01  4.89466456e-01  3.17982366e-02
  1.22845940e-01  8.94131183e-02  5.23241889e-02  4.23575172e-01
  6.69300596e-01  8.26276439e-01  7.50156610e-01  1.50147564e+00
  1.02260338e+00  1.37682373e+00  9.63701329e-01  1.12876881e+00
  2.54397330e-01 -2.60925774e-01  1.32370089e-01  6.13109177e-01
 -1.64428853e-01  3.22338282e-01 -1.00478982e-03 -3.18981203e-01
  8.82202090e-02  1.28949580e-01  5.97811334e-01]",True,1
LinearRegression,TSLA,standard,True,3,0.5348837209302325,0.375,,,"{np.int64(0): np.int64(33), np.int64(1): np.int64(10)}",5,"[-7.85024100e-01 -4.22342803e-02 -6.21675771e-01 -9.06448091e-01
 -1.12837960e+00 -7.00301188e-01 -1.23728600e+00 -1.25319543e+00
 -9.16976146e-01 -6.82076787e-01  1.23784130e-01 -1.50670057e-01
  4.47635881e-01  2.74811893e-01  1.42485502e-01 -1.30028148e-01
 -1.14541216e-01 -1.01411371e-01  4.89466456e-01  3.17982366e-02
  1.22845940e-01  8.94131183e-02  5.23241889e-02  4.23575172e-01
  6.69300596e-01  8.26276439e-01  7.50156610e-01  1.50147564e+00
  1.02260338e+00  1.37682373e+00  9.63701329e-01  1.12876881e+00
  2.54397330e-01 -2.60925774e-01  1.32370089e-01  6.13109177e-01
 -1.64428853e-01  3.22338282e-01 -1.00478982e-03 -3.18981203e-01
  8.82202090e-02  1.28949580e-01  5.97811334e-01]",True,1
Transformer,TSLA,standard,True,1,0.6744186046511628,0.7407407407407407,"[0.6822462677955627, 0.6930018067359924, 0.6841711401939392, 0.6852009892463684, 0.7322869300842285, 0.7056795358657837, 0.6983817219734192, 0.6822493672370911, 0.6855034828186035, 0.6650581359863281, 0.7028579711914062, 0.6578537225723267, 0.6781008839607239, 0.6470268964767456, 0.6439112424850464, 0.6722755432128906, 0.6720970273017883, 0.6667554974555969, 0.6733081340789795, 0.7018557190895081, 0.6482411623001099, 0.666488766670227, 0.6325681209564209, 0.646123468875885, 0.6434714198112488, 0.6137412190437317, 0.6242165565490723, 0.6152418851852417, 0.6101514101028442, 0.6216583847999573, 0.5885985493659973, 0.6675217151641846, 0.5682944059371948, 0.5967428088188171, 0.6285020709037781, 0.6031997203826904, 0.6560620665550232, 0.6209255456924438, 0.6108241081237793, 0.637566328048706, 0.5831596851348877, 0.6086040735244751, 0.5981552004814148, 0.592194139957428, 0.5322155952453613, 0.5704689025878906, 0.563907265663147, 0.5518497824668884, 0.5284679532051086, 0.5632783770561218, 0.50909423828125, 0.5106903910636902, 0.49769729375839233, 0.4925306439399719, 0.4897565543651581, 0.5051038861274719, 0.4855436384677887, 0.4748861491680145, 0.49472010135650635, 0.4211176931858063, 0.4284892678260803, 0.43573901057243347, 0.4042922258377075, 0.40512579679489136, 0.35925379395484924, 0.3514162302017212, 0.35618647933006287, 0.35513272881507874, 0.2894575297832489, 0.3226768374443054, 0.29620879888534546, 0.2962437570095062, 0.3424489498138428, 0.28192412853240967, 0.2686592638492584, 0.24834750592708588, 0.18872569501399994, 0.20776589214801788, 0.20232835412025452, 0.23950497806072235, 0.17068307101726532, 0.23813998699188232, 0.24734510481357574, 0.18467596173286438, 0.22490011155605316, 0.15714024007320404, 0.18401333689689636, 0.1834646761417389, 0.18685251474380493, 0.1713467240333557, 0.14273950457572937, 0.11596754938364029, 0.12268524616956711, 0.12376910448074341, 0.06964074820280075, 0.15274578332901, 0.12863555550575256, 0.11401351541280746, 0.05859850347042084, 0.08639416843652725, 0.07794778794050217, 0.08037425577640533, 0.08027710765600204]","[0.8665582537651062, 0.7487968802452087, 0.6930452585220337, 0.6937128901481628, 0.7366525530815125, 0.7581667304039001, 0.7510963082313538, 0.7913327813148499, 0.8330211639404297, 0.9086781740188599, 0.8051065802574158, 0.7503798604011536, 0.7759714722633362, 0.7917059659957886, 0.7991580963134766, 0.7682428359985352, 0.986009418964386, 0.8772867918014526, 0.7620097398757935, 0.8157619833946228, 0.7906485795974731, 0.7744640707969666, 0.8002532124519348, 0.7643104195594788, 0.8377166986465454, 0.8717378973960876, 0.9047697186470032, 0.8728466629981995, 0.8789867758750916, 0.8657992482185364, 0.88495272397995, 0.9135947227478027, 0.8945761919021606, 0.9592640995979309, 0.9371827244758606, 1.0150892734527588, 1.0563358068466187, 0.9580522179603577, 1.0001946687698364, 0.9084704518318176, 1.0722417831420898, 1.0178241729736328, 0.9218617081642151, 1.0185577869415283, 1.1306817531585693, 1.2159650325775146, 1.3774397373199463, 1.4069576263427734, 1.3594752550125122, 1.2669744491577148, 1.1508368253707886, 1.540071725845337, 1.5021251440048218, 1.7540171146392822, 1.8414990901947021, 1.5037282705307007, 1.3051502704620361, 1.1618634462356567, 1.3755905628204346, 1.4601696729660034, 1.255052924156189, 1.3520946502685547, 1.220423698425293, 1.3286516666412354, 1.5935132503509521, 1.3941456079483032, 1.652565598487854, 1.698750376701355, 1.8835484981536865, 1.9438339471817017, 1.9875240325927734, 2.083874225616455, 1.8906782865524292, 1.840098261833191, 1.8414357900619507, 2.0355474948883057, 2.3751108646392822, 2.6702044010162354, 2.861966371536255, 3.121248483657837, 3.023771286010742, 3.3823933601379395, 3.242387533187866, 3.3758981227874756, 3.040283679962158, 2.886401414871216, 3.0860536098480225, 3.26904296875, 3.6369519233703613, 3.3898580074310303, 3.936751127243042, 3.9578285217285156, 4.228961944580078, 4.284091472625732, 4.188872337341309, 4.646334171295166, 4.600930213928223, 4.800948143005371, 5.051961421966553, 5.1631269454956055, 5.306674480438232, 5.407902717590332, 5.554741859436035]","{np.int64(0): np.int64(11), np.int64(1): np.int64(32)}",5,"[[0.6170522 ]
 [0.6242914 ]
 [0.65352196]
 [0.6528041 ]
 [0.6499037 ]
 [0.6827483 ]
 [0.6824947 ]
 [0.6767298 ]
 [0.6294477 ]
 [0.6489067 ]
 [0.62841564]
 [0.59043485]
 [0.5616607 ]
 [0.5237834 ]
 [0.48671108]
 [0.46266377]
 [0.46365678]
 [0.44190115]
 [0.45558557]
 [0.4647278 ]
 [0.48665476]
 [0.54232854]
 [0.5876501 ]
 [0.6162914 ]
 [0.6750386 ]
 [0.7150762 ]
 [0.7394648 ]
 [0.7097349 ]
 [0.72231865]
 [0.6412639 ]
 [0.5451445 ]
 [0.5195706 ]
 [0.5486982 ]
 [0.4896892 ]
 [0.5017699 ]
 [0.5351422 ]
 [0.47801873]
 [0.4750962 ]
 [0.4599995 ]
 [0.52542156]
 [0.6518105 ]
 [0.69635737]
 [0.7558134 ]]",True,1
