model,ticker,scaler,sentiment,run,accuracy,f1_score,train_loss,val_loss,class_distribution,lag,pred_probs,technical_indicators,xgb_max_depth,xgb_min_child_weight,xgb_gamma,learning_rate,n_estimators,profit
XGBoost,TSLA,standard,False,1,0.6447368421052632,0.7096774193548387,,,"{np.int64(0): np.int64(25), np.int64(1): np.int64(51)}",5,,False,3,1,0.2,0.1,150,7432.3937377929615
XGBoost,MSFT,standard,False,1,0.5263157894736842,0.5609756097560976,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(49)}",5,,False,3,1,0.2,0.1,150,1229.992431640636
XGBoost,PG,standard,False,1,0.5394736842105263,0.6153846153846154,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(56)}",5,,False,3,1,0.2,0.1,150,-51.21295166015625
XGBoost,META,standard,False,1,0.5263157894736842,0.4857142857142857,,,"{np.int64(0): np.int64(40), np.int64(1): np.int64(36)}",5,,False,3,1,0.2,0.1,150,-116.13418579101562
XGBoost,AMZN,standard,False,1,0.5789473684210527,0.5,,,"{np.int64(0): np.int64(52), np.int64(1): np.int64(24)}",5,,False,3,1,0.2,0.1,150,2131.2649917602575
XGBoost,GOOG,standard,False,1,0.5921052631578947,0.4918032786885246,,,"{np.int64(0): np.int64(49), np.int64(1): np.int64(27)}",5,,False,3,1,0.2,0.1,150,529.9292755126698
XGBoost,AMD,standard,False,1,0.5131578947368421,0.5842696629213483,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(56)}",5,,False,3,1,0.2,0.1,150,-890.607513427738
XGBoost,AAPL,standard,False,1,0.5657894736842105,0.611764705882353,,,"{np.int64(0): np.int64(29), np.int64(1): np.int64(47)}",5,,False,3,1,0.2,0.1,150,2629.731201171875
